School,GPA,GRE,Program Type,Application Location,Date,Round,Post-MBA Career,Note
Columbia,3.9,318.0,Traditional Two-Year,US,2021-10-05,Early Decision,Healthcare,
Columbia,3.5,318.0,Traditional Two-Year,,2023-03-08,Round 2,Other,"Consortium applicant, but I received the call this afternoon for a non-consortium full tuition fellowship. Very excited!"
Cambridge / Judge,3.4,318.0,One Year Program,,2022-03-04,Round 3,,
Cambridge / Judge,3.75,318.0,,VA,2019-05-10,Round 4,Consulting,
Columbia,3.83,318.0,Traditional Two-Year,Denver,2024-04-25,Round 2,Finance,"I don't mean to undermine the merits of my application, but my acceptance from the waitlist also seems a bit circumstantial given the spotlight that CBS has been under due to the Gaza protest. I'd imagine this negative image has detered some folks from going attending CBS, and thus opened the door for WL applicants"
Harvard Business School,4.5,318.0,Traditional Two-Year,Bogota,2023-12-12,Round 1,Healthcare,
MIT Sloan,4.0,318.0,Traditional Two-Year,Latin America,2024-05-16,Round 3,Consulting,"Received the call about an hour ago, still can't believe it. R3 applicants: it is totally possible! Believe in yourselves."
Berkeley / Haas,3.8,318.0,Traditional Two-Year,Philadelphia,2023-03-23,Round 2,Technology,"Was called literally at 5:59pm ET, right before the portal updated. Received an $80k merit scholarship. I had completely given up hope so I am absolutely shocked!! This is my top choice!! For reference, attended interview day in person, received the mock interview email but did not attend the classes."
Columbia,3.7,317.0,Traditional Two-Year,NYC,2022-05-16,Round 3,Technology,
Columbia,3.23,317.0,,Thailand,2019-12-18,Rolling Admissions,,
Berkeley / Haas,3.55,317.0,Traditional Two-Year,,2022-03-23,Round 1,General Management,
Oxford / Saïd,3.58,317.0,One Year Program,China,2023-11-27,Round 1,Technology,
Columbia,3.98,317.0,,NY,2019-10-29,Early Decision,,9/30 Submit Application
MIT Sloan,3.47,317.0,,New York,2020-03-31,Round 2,Other,"Got the call from an AO at 9:27am ET. Came through as No Caller ID. Notified about fellowship award during the call. Said more details would be in the award letter to come. I know how harrowing the wait is AND how bad it feels to get the ding, so you all are in my thoughts today."
MIT Sloan,3.15,317.0,,Middle East,2019-12-18,Round 1,,Received the call at 8:55AM Eastern Time (5PM my time). Received the call from my interviewer.
Columbia,3.23,317.0,,Thailand,2019-10-28,Rolling Admissions,,"Applied 10/2, resubmitted GRE 10/6, interview invite 10/21, interviewed 10/25, interview feedback 10/27, acceptance call 10/28"
Berkeley / Haas,3.4,317.0,Traditional Two-Year,,2022-05-10,Round 3,Technology,My top choice. Really excited
Columbia,3.58,317.0,Traditional Two-Year,China,2023-12-13,Round 1,Technology,
Harvard Business School,3.9,317.0,Traditional Two-Year,PA,2022-03-30,Round 2,Healthcare,Took me 10 minutes to update this because I was yelling
Columbia,3.4,317.0,Traditional Two-Year,,2024-03-20,Round 2,,
Berkeley / Haas,3.89,317.0,,Texas,2019-03-11,Round 2,Non Profit / Social Impact,
Berkeley / Haas,3.75,316.0,Traditional Two-Year,Maine,2021-07-03,Round 2,Non Profit / Social Impact,Waitlisted at all three schools I applied to and now admitted to my top choice. Things work out! Thanks to everyone on here for helping the process feel like less of a black hole and good luck.
Berkeley / Haas,3.63,316.0,,New York City,2020-03-24,Round 2,Finance,Pre-MBA Career: Engineering
Harvard Business School,3.9,316.0,Deferred Enrollment,,2022-07-06,Round 1,Finance,
Berkeley / Haas,3.6,316.0,,,2019-12-10,Round 1,Non Profit / Social Impact,
Cambridge / Judge,2.9,316.0,,Canada,2019-01-09,Round 2,Entrepreneurship,
Berkeley / Haas,3.4,316.0,Traditional Two-Year,New York,2023-12-06,Round 1,Technology,Call came at about 11am est. Crying
Columbia,3.44,316.0,Traditional Two-Year,Texas,2023-12-14,Round 1,Consulting,
MIT Sloan,3.44,316.0,Traditional Two-Year,Texas,2023-12-14,Round 1,Consulting,with scholarship!
Yale SOM,3.44,316.0,Traditional Two-Year,Texas,2023-12-14,Round 1,Consulting,with scholarship!
Oxford / Saïd,3.44,316.0,Traditional Two-Year,Texas,2023-12-14,Round 1,Consulting,
Berkeley / Haas,2.9,316.0,Traditional Two-Year,,2024-05-02,Round 3,Entrepreneurship,
Berkeley / Haas,2.8,315.0,,San Francisco,2018-04-05,Round 2,Non Profit / Social Impact,Got a call today notifying me of my acceptance in the EWMBA program!!!
Berkeley / Haas,3.7,315.0,Traditional Two-Year,,2022-03-21,Round 2,Non Profit / Social Impact,
Berkeley / Haas,3.62,315.0,,NYC,2021-03-19,Round 2,General Management,"CGSM applicant. Application complete 1/29; interview invite 2/17; interviewed 2/25 w Y2. Received call at 7:15 ET, my last name is early in the alphabet. ORM; 7 years government WE, including COVID-19 response this past year; non-traditional applicant, am very likely an outlier by at least one category, and not in a necessarily positive way."
Columbia,3.6,315.0,,New York,2020-07-06,Round 3,Other,"Applied 5/30, Interviewed 6/29, Accepted 7/1"
Cambridge / Judge,3.8,315.0,Traditional Two-Year,,2022-03-15,Round 3,Non Profit / Social Impact,
Berkeley / Haas,3.35,315.0,Traditional Two-Year,,2023-03-23,Round 2,,They encouraged me to apply for the EWMBA which softened the blow
Berkeley / Haas,3.56,315.0,Traditional Two-Year,Washington DC,2023-04-11,Round 2,Non Profit / Social Impact,
Berkeley / Haas,3.5,315.0,Traditional Two-Year,LATAM,2024-03-21,Round 2,Technology,
Oxford / Saïd,3.7,315.0,Traditional Two-Year,Colorado,2022-11-30,Round 1,Finance,
Columbia,3.92,314.0,,,2020-02-25,Round 2,,interview and evaluation submitted on 2/18
Berkeley / Haas,3.54,314.0,Traditional Two-Year,Nigeria,2024-03-20,Round 2,Consulting,Sent an invite for a pre-recorded video interview on March 7th and received an email to join the Zoom call on March 18th.
Berkeley / Haas,3.5,314.0,Traditional Two-Year,,2024-03-21,Round 2,,"Call came in at 8:30p ET, Adcom was super specific about why I was accepted. Felt really special!"
Harvard Business School,3.62,314.0,Traditional Two-Year,Chicago,2021-12-10,Round 1,Consulting,"I nearly disqualified myself because of my test scores, but I'm so glad I took the risk anyways! I can't believe it."
Columbia,3.34,314.0,Traditional Two-Year,,2023-12-13,Round 1,Finance,Bawled for like 30 minutes this morning. Unbelievably thankful and excited!!!!
Columbia,3.4,314.0,,Philadelphia,2021-03-23,Rolling Admissions,Finance,I got into Columbia!!!!!! Received my NYU call last week and Columbia this week! I’m excited!!!!!!
Columbia,3.4,314.0,,,2021-03-30,Rolling Admissions,Finance,You guys I’m livid!!! I just got scholarship info from Columbia and they gave me $70k in scholarship!!!! I can’t believe this! Btw I used applicant lab for my admission consultation
Columbia,3.27,314.0,January Intake,"Guayaquil, Ecuador",2023-10-17,Rolling Admissions,Finance,Applied: 09/06/2023
Oxford / Saïd,2.66,313.0,One Year Program,DC,2023-12-05,Round 1,Consulting,Interviewed on 11/22; nontraditional background
Berkeley / Haas,3.6,313.0,Traditional Two-Year,Colorado,2024-03-20,Round 2,Entrepreneurship,
Oxford / Saïd,3.1,313.0,One Year Program,United States,2023-12-12,Round 1,Technology,"Interview December 5th, 2023"
Oxford / Saïd,3.1,313.0,One Year Program,United States,2023-12-12,Round 1,Technology,"Interview December 5th, 2023"
Berkeley / Haas,3.59,313.0,Traditional Two-Year,Colorado,2023-12-08,Round 1,Consulting,Military
Columbia,3.5,312.0,Traditional Two-Year,,2024-05-07,Round 2,,
Columbia,3.65,312.0,,NYC,2021-02-09,Rolling Admissions,Other,"Accepted this morning via phone!! Invited to interview 2/1, interviewed 2/7, feedback submitted the same day, got the call this morning!! I'm so excited!"
Columbia,3.88,312.0,Traditional Two-Year,Nigeria,2021-11-17,Early Decision,Finance,"Application submitted 03-Oct, Interview invite & Interview 25 & 27-Oct, Interview Feedback 03-Nov, Offer 17-Nov"
MIT Sloan,3.23,312.0,Traditional Two-Year,Boston,2024-04-04,Round 2,Entrepreneurship,"Dreams truly do come true. Still crying. 9 YOE, risk management, launched two businesses and operating one. Work in M7 tech company."
Yale SOM,3.9,312.0,,Maine,2020-12-08,Round 1,Non Profit / Social Impact,
Columbia,3.4,312.0,,UAE,2018-08-05,Rolling Admissions,Consulting,"App submitted 6/18, interviewed 7/22, accepted by phone 8/3"
Berkeley / Haas,3.23,312.0,Traditional Two-Year,Boston,2024-03-20,Round 2,Entrepreneurship,This is a dream come true! Can’t focus at work today!
Cambridge / Judge,3.5,312.0,Traditional Two-Year,US,2022-03-10,Round 3,Technology,
Berkeley / Haas,3.52,311.0,Traditional Two-Year,Los Angeles,2024-03-19,Round 2,,
MIT Sloan,3.2,311.0,Traditional Two-Year,California,2023-04-02,Round 2,Consulting,My interviewer called me around 8pm EST to inform me of the good news! Absolutely elated!
Columbia,3.5,311.0,January Intake,Philippines,2023-11-08,Rolling Admissions,Entrepreneurship,09/12 Submitted Application
Berkeley / Haas,3.6,311.0,,,2021-05-17,Rolling Admissions,,Shocked but very happy. One of the few selected from the consultant pool.
Columbia,3.89,311.0,Traditional Two-Year,NYC,2023-03-09,Round 2,Non Profit / Social Impact,
Stanford GSB,3.7,311.0,Deferred Enrollment,Midwest US,2022-05-24,Round 3,Entrepreneurship,Attended T10 Undergrad school
Columbia,3.8,311.0,,,2020-06-29,Round 3,,
Harvard Business School,3.86,310.0,,,2020-12-10,Round 1,,
Columbia,3.4,310.0,Traditional Two-Year,NYC,2023-12-13,Round 1,Other,
MIT Sloan,3.3,309.0,,Bangkok,2020-05-07,Round 3,Consulting,
Stanford GSB,3.72,309.0,Deferred Enrollment,"Oakland, CA",2024-05-31,Round 3,Finance,"I submitted my GRE (309) but I took the GMAT and scored a 545. I'm graduating from a top 2 undergraduate business program. I submitted my application on April 9th, invited to interview at the beginning of May, and interviewed on May 7th."
Berkeley / Haas,2.87,309.0,,Colorado,2019-12-12,Round 1,,
Berkeley / Haas,2.8,309.0,Traditional Two-Year,Mexico,2024-03-26,Round 2,Entrepreneurship,Received grant to pay for part of tuition !
Columbia,3.6,307.0,Traditional Two-Year,,2023-03-10,Round 2,Technology,"Applied through the consortium. Interviewed 2/16. Accepted via the portal at noon. No mention of funding or fellowship but seems like they are still assessing for some candidates. Maybe as the fill the class, they’ll release more. Congrats to everyone!"
Columbia,3.3,306.0,Traditional Two-Year,,2023-03-09,Round 2,Consulting,Consortium admit with no funding. 2/8 interview with feedback submitted the same day.
Columbia,3.75,305.0,Traditional Two-Year,,2023-06-07,Rolling Admissions,,
Columbia,3.81,304.0,Traditional Two-Year,Nigeria,2023-02-24,Rolling Admissions,Consulting,"I can't believe my eyes!!! Had my interview by 12 noon today and got admission letter on portal by 10:45pm the same today! Interviewer just wanted to make sure I was personable and a team player not just book smart. He asked questions like what will you contribute to the school apart from joining clubs and he was pleased with my answer to throw karaoke and parties for bonding with classmates. Lol. Mehn! It's been a ride! Applied on the 11th of January 2023, the last day for merit fellowship. I had lost all hope of an interview even because of my low GRE score even though my gpa is high at 3.81/4.0."
Yale SOM,3.67,304.0,,East,2021-03-26,Round 2,General Management,ORM - Chinese. Very shocked to have gotten in but a few admission consultants told me to apply anyway . I took the test 6 times and couldn’t improve much. believe that if you are a kind person - one that never judges and one that helps THOSE around you be successful then realize that test score is just one of many criteria’s. Shoot your shot. Forget what people say. Know your strengths. Focus on your passions not just test taking.
MIT Sloan,3.4,301.0,,Southeast,2020-05-09,Round 3,Entrepreneurship,
Columbia,3.8,226.0,,Oregon,2018-11-10,Early Decision,Marketing,Submitted 10/3; Invited to Interview 10/26; Interviewed 11/3; Interview Feedback Submitted 11/3; Received Acceptance Call 11/8
Yale SOM,3.8,223.0,Traditional Two-Year,,2023-12-05,Round 1,Consulting,With scholarship!
Berkeley / Haas,3.7,221.0,,Europe,2021-03-23,Round 2,Technology,Application submitted 01/10 Interview invite 03/08 Prerecorded interview 03/13 — Fellowship + $$ (non Consortium/Forte)
